City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,kristiansund,63.1115,7.732,61.45,88,20,8.05,NO,1690401757
349,yigo village,13.5361,144.8886,78.12,91,100,20.71,GU,1690401757
350,oriximina,-1.7656,-55.8661,93.74,36,3,6.35,BR,1690401534
351,ust-tsilma,65.441,52.1498,57.02,88,9,2.62,RU,1690401758
352,letlhakeng,-24.0944,25.0298,57.61,53,0,8.23,BW,1690401758
353,naze,28.3667,129.4833,81.52,83,100,14.09,JP,1690401758
354,sijunjung,-0.6876,100.9537,71.28,93,100,2.62,ID,1690401758
355,hilo,19.7297,-155.09,91.27,94,55,5.99,US,1690401759
356,yuxi,24.355,102.5422,65.17,92,100,2.3,CN,1690401759
357,puerto palomas,31.7667,-107.6167,101.98,12,0,6.6,MX,1690401760
358,port blair,11.6667,92.75,81.81,84,100,16.28,IN,1690401760
359,ratnagiri,16.9833,73.3,78.37,90,100,17.22,IN,1690401760
360,yung shue wan,22.2333,114.1167,91.56,71,45,1.99,HK,1690401760
361,campbell river,50.0163,-125.2446,67.59,59,40,6.91,CA,1690401645
362,autazes,-3.5797,-59.1306,98.67,26,3,4.12,BR,1690401715
